Nombre,Brand,Link,price-verde,price-gris,price-rojo,SKU,Descripcion,Img
Cerveza 9000 Quadruple 10.5° 750 cc,Gulden Draak,https://www.jumbo.cl/cerveza-st-bernardus-gulden-draak-750-cc/p,,$7.100,,Código: 1669480,"La nueva receta basada en 4 variedades de malta diferentes le da al Gulden Draak 9000 Quadruple un profundo color ámbar dorado y un aroma ligeramente afrutado. Junto con el sabor suave y ligeramente dulce, esto proporciona un ramo maravillosamente redondeado con notas de fruta seca.Al igual que las otras cervezas especiales de Brewery Van Steenberge, Gulden Draak 9000 Quadruple es una cerveza de alta fermentación con fermentación secundaria. Para la fermentación secundaria, el uso se hace con una levadura de vino que no solo contribuye al sabor incomparable, sino que también garantiza una vida útil a largo plazo con la evolución del sabor.",https://jumbo.vtexassets.com/arquivos/ids/286494-750-750?width=750&height=750&aspect=true
Pack 4 un. Cerveza Blonde botella 330 cc,Mestra,https://www.jumbo.cl/pack-cerveza-mestra-blonde-ale-4-unid-330-cc-c-u/p,,$5.490,,Código: 917125-PAK,"Intenso y profundo aroma a lúpulo en una cerveza que expresa todas las bondades culturales del hermoso Barrio Lastarria. Ligera y refrescante, con estilosa espuma blanca.",https://jumbo.vtexassets.com/arquivos/ids/311103-750-750?width=750&height=750&aspect=true
Cerveza Lager lata 350 cc,Escudo,https://www.jumbo.cl/cerveza-escudo-lata-355-cc-nacional/p,,$730,,Código: 263555,"Cerveza lager de cuerpo excepcional, profundo color dorado y sabor único; cualidades preferidas por los conocedores y que hacen que Escudo sea más cerveza. Escudo es una cerveza lager, pero no es para cualquiera: es una cerveza con carácter para los que viven la vida con actitud y saben y quieren ir por más. Su cuerpo es excepcionalmente robusto, su color es dorado profundo, y su sabor es intenso e inconfundible. Estas destacadas cualidades pueden disfrutarse en cada sorbo, donde queda en evidencia que Escudo es más cerveza.",https://jumbo.vtexassets.com/arquivos/ids/284118-750-750?width=750&height=750&aspect=true
Cerveza doble malta 350cc,Volcanes del Sur,https://www.jumbo.cl/cerv-volcanes-del-sur-doble-malta-350cc/p,,$1.500,,,,
Pack 6 un. Cerveza 5.1° botella 330 cc,Schorshweizen,https://www.jumbo.cl/cerv-flensburger-weizen-5-1-bot-330cc-x6-1168925-pak/p,,$10.290,,Código: 1168925-PAK,"Cerveza full fermentada en el fondo, de color ámbar oscuro con una pronunciada nota a malta tostada, un cuerpo complejo y un fino carácter seco. Único gracias a la nota equilibrada y característica de caramelo, que abarca un espectro de aromas que van desde toffee ligero hasta matices de café ligeramente tostado.",https://jumbo.vtexassets.com/arquivos/ids/430916-750-750?width=750&height=750&aspect=true
Cerveza botella 330 cc,Stella Artois,https://www.jumbo.cl/cerveza-stella-artois-botella-335-cc/p,,$1.089,,Código: 1123745,"Tradicional y sofisticada lager de origen belga, caracterizada por un sabor amargo y un ligero final. En su versión de 330 cc.",https://jumbo.vtexassets.com/arquivos/ids/421436-750-750?width=750&height=750&aspect=true
Cerveza 1854 Original 5.0° botella 330 cc,Licher,https://www.jumbo.cl/cerveza-original-licher-330-ml-5/p,,$1.399,,Código: 1625558,"La historia de la cervecería Licher comienza en 1854, cuando Johann Heinrich Jhring fundó una fábrica de cerveza para producir cerveza al vapor en Lich, Alemania. Cuatro años después, Christoph Jakob Melchior comienza a elaborar cerveza en la vecina ciudad de Butzbach.",https://jumbo.vtexassets.com/arquivos/ids/295648-750-750?width=750&height=750&aspect=true
Cerveza artesanal IPA botella 330 cc,+56,https://www.jumbo.cl/cerveza-artesanal-56-ipa-botella-330-cc/p,,$2.390,,Código: 1805112,"La +56 IPA (India Pale Ale), es una cerveza artesanal chilena, con aromas lupulados, frutales y cítricos, gracias al proceso de Dry-Hopping.",https://jumbo.vtexassets.com/arquivos/ids/373122-750-750?width=750&height=750&aspect=true
Cerveza Pils 710 cc,Kross,https://www.jumbo.cl/cerveza-kross-pilsner-710-ml/p,,$2.300,,Código: 1686136,Balanceado amargor producto del uso del lúpulo Magnum,https://jumbo.vtexassets.com/arquivos/ids/351917-750-750?width=750&height=750&aspect=true
Cerveza importada Voll botella 330 cc c/u,Damm,https://www.jumbo.cl/cerveza-voll-damm-7-2-330-cc/p,,$1.400,,Código: 1042542,"Cerveza con color roble de reflejos anaranjados. El aroma es de gran intensidad y complejidad con notas a  melocotón maduro y manzana; con un final en el que persiste la sensación de pan tostado. La entrada en boca es amplia, con carácter. El final nos recuerda al tanino de la hoja de tabaco. El amargor del lúpulo regala una intensa sensación refrescante.?",https://jumbo.vtexassets.com/arquivos/ids/430616-750-750?width=750&height=750&aspect=true
Pack 6 un. Cerveza importada Voll botella 330cc c/u,Damm,https://www.jumbo.cl/cerv-voll-damm-7-2-bot-330-cc-2/p,,$8.200,,Código: 1042542-PAK,"Cerveza con color roble de reflejos anaranjados. El aroma es de gran intensidad y complejidad con notas a  melocotón maduro y manzana; con un final en el que persiste la sensación de pan tostado. La entrada en boca es amplia, con carácter. El final nos recuerda al tanino de la hoja de tabaco. El amargor del lúpulo regala una intensa sensación refrescante.?",https://jumbo.vtexassets.com/arquivos/ids/351955-750-750?width=750&height=750&aspect=true
Cerveza Strong Lager 6.5° 350 cc,Volcanes del Sur,https://www.jumbo.cl/cerveza-volcanes-strong-6-7-botella-350-cc-2/p,,$1.350,,Código: 1703058,"Volcanes del Sur Strong Lager es una cerveza de mayor graduación alcohólica. Se caracteriza por su color ámbar rojizo, aroma caramelo y sabor equilibrado.",https://jumbo.vtexassets.com/arquivos/ids/363643-750-750?width=750&height=750&aspect=true
Pack 6 un. Cerveza Lager 4.5° 354 cc,Becker,https://www.jumbo.cl/pack-cerveza-becker-6-unid-354-cc-c-u/p,,$3.190,,Código: 263502-PAK,Cerveza de estilo Lager con aroma tenue y suave. Deliciosamente refrescante. Perfecta para compartir con amigos.,https://jumbo.vtexassets.com/arquivos/ids/398772-750-750?width=750&height=750&aspect=true
Cerveza sun and steel 4.8° lata 500 cc,Trooper,https://www.jumbo.cl/cerveza-trooper-sun-steel-lat-500cc-4-8/p,,$1.499,,Código: 1816960,"Cerveza premium británica de la legendaria banda Iron Maiden, de estilo Lager. Elaborada con levadura Sake.",https://jumbo.vtexassets.com/arquivos/ids/410461-750-750?width=750&height=750&aspect=true
