Title,Title_link,Thumbnail,Brand,EAN,Price,Especificaciones
Papas Fritas Caseras,https://www.tottus.cl/marco-polo-papas-fritas-caseras-20074391/p/,,MARCO-POLO - 400 G,"<div id=""OKTS_div"" data-ean=""7802420150104"" class=""jsx-273525516""></div>","$1.600 UN,$920 UN","Formato400 gAlto en sodionoAzucares totales por 100 gr g0,5 gHidratos de carbono disponibles por 100 gr g49,4 gSodio por porcion mg99,5 mgSellertottusGrasa total por 100 gr g34 gEnergia por 100 gr kcal528 kcalGrasa total por porcion g8,5 gAzucares totales por porcion g0,1 gAlto en caloriassiMarcamarco-poloProteinas por porcion g1,5 gUnidades por paquete1Alto en grasasnoBusiness score1Energia por porcion kcal132 kcalAlto en azucarnoSodio por 100 gr mg398 mgProteinas por 100 gr g6 gSticker appsticker_jose"
Papas Fritas Corte Americano,https://www.tottus.cl/marco-polo-papas-fritas-corte-americano-20087379/p/,,MARCO-POLO - 400 G,"<div id=""OKTS_div"" data-ean=""7802420151378"" class=""jsx-273525516""></div>","$1.790 UN,$920 UN",Formato400 gAlto en sodionoAzucares totales por 100 gr g0.2 gHidratos de carbono disponibles por 100 gr g49.6 gSodio por porcion mg148 mgSellertottusGrasa total por 100 gr g34.5 gEnergia por 100 gr kcal532 kcalGrasa total por porcion g8.6 gAzucares totales por porcion g0.1 gAlto en caloriassiMarcamarco-poloProteinas por porcion g1.5 gUnidades por paquete1Alto en grasasnoBusiness score1Energia por porcion kcal133 kcalAlto en azucarnoSodio por 100 gr mg593 mgProteinas por 100 gr g5.9 gSticker appsticker_jose
Chips nativas andinas,https://www.tottus.cl/tika-chips-nativas-andinas-20367602/p/,,TIKA - 180 G,"<div id=""OKTS_div"" data-ean=""7804630010582"" class=""jsx-273525516""></div>","$2.860 UN,$920 UN","Formato180 gAlto en sodionoAzucares totales por 100 gr g0,1 gHidratos de carbono disponibles por 100 gr g49,1 gSodio por porcion mg49 mgSellertottusGrasa total por 100 gr g35 gEnergia por 100 gr kcal536 kcalGrasa total por porcion g7 gAzucares totales por porcion g0 gAlto en caloriasnoMarcatikaProteinas por porcion g1,2 gUnidades por paquete1Alto en grasasnoBusiness score1Energia por porcion kcal107 kcalAlto en azucarnoSodio por 100 gr mg247 mgProteinas por 100 gr g6,1 gSticker appsticker_jose"
Papas Fritas Rústicas Merken,https://www.tottus.cl/marco-polo-papas-fritas-rusticas-merken-20339636/p/,,MARCO-POLO - 185 G,"<div id=""OKTS_div"" data-ean=""7802420002359"" class=""jsx-273525516""></div>",$1.930 UN,Formato185 gAlto en sodionoAzucares totales por 100 gr g2.6 gHidratos de carbono disponibles por 100 gr g52.5 gSodio por porcion mg88.3 mgSellertottusGrasa total por 100 gr g29.1 gEnergia por 100 gr kcal491 kcalGrasa total por porcion g7.3 gAzucares totales por porcion g0.6 gAlto en caloriassiMarcamarco-poloProteinas por porcion g1.2 gUnidades por paquete1Alto en grasasnoBusiness score1Energia por porcion kcal123 kcalAlto en azucarnoSodio por 100 gr mg353 mgProteinas por 100 gr g4.8 g
Chips nativas chilenas,https://www.tottus.cl/tika-tika-nativas-patriota-20386268/p/,,TIKA - 180 G,"<div id=""OKTS_div"" data-ean=""7804630010612"" class=""jsx-273525516""></div>","$2.860 UN,$920 UN","Formato180 gAlto en sodionoAzucares totales por 100 gr g0,1 gHidratos de carbono disponibles por 100 gr g49,1 gSodio por porcion mg49 mgSellertottusGrasa total por 100 gr g35 gEnergia por 100 gr kcal536 kcalGrasa total por porcion g7 gAzucares totales por porcion g0 gAlto en caloriasnoMarcatikaProteinas por porcion g1,2 gUnidades por paquete1Alto en grasasnoBusiness score1Energia por porcion kcal107 kcalAlto en azucarnoSodio por 100 gr mg247 mgProteinas por 100 gr g6,1 gSticker appsticker_jose"
Chips nativas pesto/provenzal,https://www.tottus.cl/tika-nacional-chips-nativas-20386267/p/,,TIKA - 180 G,"<div id=""OKTS_div"" data-ean=""7804630010599"" class=""jsx-273525516""></div>","$2.860 UN,$920 UN","Formato180 gAlto en sodionoAzucares totales por 100 gr g0,1 gHidratos de carbono disponibles por 100 gr g49,1 gSodio por porcion mg49 mgSellertottusGrasa total por 100 gr g35 gEnergia por 100 gr kcal536 kcalGrasa total por porcion g7 gAzucares totales por porcion g0 gAlto en caloriassiMarcatikaProteinas por porcion g1,2 gUnidades por paquete1Alto en grasasnoBusiness score1Energia por porcion kcal107 kcalAlto en azucarnoSodio por 100 gr mg247 mgProteinas por 100 gr g6,1 gSticker appsticker_jose"
Chips Nativas Pepper,https://www.tottus.cl/tika-tika-chips-nativas-pepper-20367603/p/,,TIKA - 180 G,"<div id=""OKTS_div"" data-ean=""7804630010605"" class=""jsx-273525516""></div>","$2.860 UN,$920 UN","Formato180 gAlto en sodionoAzucares totales por 100 gr g0,1 gHidratos de carbono disponibles por 100 gr g49,1 gSodio por porcion mg49 mgSellertottusGrasa total por 100 gr g35 gEnergia por 100 gr kcal536 kcalGrasa total por porcion g7 gAzucares totales por porcion g0 gAlto en caloriassiMarcatikaProteinas por porcion g1,2 gUnidades por paquete1Alto en grasasnoBusiness score1Energia por porcion kcal107 kcalAlto en azucarnoSodio por 100 gr mg247 mgProteinas por 100 gr g6,1 gSticker appsticker_jose"
Papas Fritas Rústicas Sal De Mar,https://www.tottus.cl/marco-polo-papas-fritas-rusticas-sal-de-mar-20316882/p/,,MARCO-POLO - 185 G,"<div id=""OKTS_div"" data-ean=""7802420002182"" class=""jsx-273525516""></div>","$1.930 UN,$920 UN",Formato185 gAlto en sodionoAzucares totales por 100 gr g0.2 gHidratos de carbono disponibles por 100 gr g49.3 gSodio por porcion mg117 mgSellertottusGrasa total por 100 gr g33.8 gEnergia por 100 gr kcal525 kcalGrasa total por porcion g8.4 gAzucares totales por porcion g0.0 gAlto en caloriassiMarcamarco-poloProteinas por porcion g1.5 gUnidades por paquete1Alto en grasasnoBusiness score1Energia por porcion kcal131 kcalAlto en azucarnoSodio por 100 gr mg470 mgProteinas por 100 gr g5.9 gSticker appsticker_jose
Papa frita limón,https://www.tottus.cl/marco-polo-papa-frita-limon-marco-polo-02-kl-20453596/p/,,MARCO-POLO - UN,"<div id=""OKTS_div"" data-ean=""7802420005442"" class=""jsx-273525516""></div>","$990 UN,$920 UN,$1.130 UN,$990 UN",FormatounMarcamarco-poloSellertottusBusiness score1Sticker appsticker_jose
Vegetales tika patagonia,https://www.tottus.cl/tika-vegetales-20173510/p/,,TIKA - 212 G,"<div id=""OKTS_div"" data-ean=""7804630010148"" class=""jsx-273525516""></div>","$3.060 UN,$920 UN",Formato212 gAlto en sodionoAzucares totales por 100 gr g8.3 gHidratos de carbono disponibles por 100 gr g54.7 gSodio por porcion mg20 mgSellertottusGrasa total por 100 gr g25.3 gEnergia por 100 gr kcal469 kcalGrasa total por porcion g5.1 gAzucares totales por porcion g1.7 gAlto en caloriassiMarcatikaProteinas por porcion g1.1 gUnidades por paquete1Alto en grasasnoBusiness score1Energia por porcion kcal93.8 kcalAlto en azucarnoSodio por 100 gr mg98 mgProteinas por 100 gr g5.6 g
