Nombre,Brand,Title_link,price-verde,price-gris,price-rojo,SKU,Descripcion,Img
Snack artesanal Furiosas 180 g,Tika,https://www.jumbo.cl/tika-furiosas-180-gr-1903241/p,,$3.149,,Código: 1903241,"Delicioso snack artesanal de camotes y remolachas, ideal para un picoteo. No contiene gluten, es vegano y 100% natural. Contiene 180 g.",https://jumbo.vtexassets.com/arquivos/ids/465349-750-750?width=750&height=750&aspect=true
Chips Chiloé 180 g,Tika,https://www.jumbo.cl/tika-chiloe-180-gr-1903242/p,,$3.149,,Código: 1903242,Mix estacional de crujientes crisps de variadas papas nativas con una pizca de sal de mar. Estos deliciosos chips nacen gracias al esfuerzo de quienes han custodiado por años este patrimonio de nuestra tierra.,https://jumbo.vtexassets.com/arquivos/ids/464635-750-750?width=750&height=750&aspect=true
Chips Nativas chilena 180 g,Tika,https://www.jumbo.cl/papas-fritas-tika-180-g-nativas-variedades-2/p,$2.439,,,Código: 1712099,"Nativas Chilenas, los chips artesanales de papas preparadas con tomate, cebolla y perejil. Son libres de gluten, sin productos artificiales en su elaboración. Únicas con aceite oleico 100% girasol.",https://jumbo.vtexassets.com/arquivos/ids/310858-750-750?width=750&height=750&aspect=true
Papas fritas sour cream 158 g,Pringles,https://www.jumbo.cl/papas-fritas-pringles-sour-cream-158-g/p,,$2.190,,Código: 1768056,"La ciencia moderna no puede medir la maravilla de la crema agria, la cebolla y la papa juntas. Hemos decidido que es simplemente una combinación de sabores diseñada por la naturaleza y perfeccionada por el hombre. No lo cuestionamos. Simplemente seguiremos haciéndolas, siempre y cuando sigas nominándolas.",https://jumbo.vtexassets.com/arquivos/ids/409826-750-750?width=750&height=750&aspect=true
Papas fritas original 37 g,Kryzpo,https://www.jumbo.cl/papas-fritas-kryzpo-sabor-original-envase-de-40-g/p,,$649,,Código: 1567600,Un formato personal e intransferible el favorito de los egoístas. Eso significa que las kryzpo son tan ricas que no puedes compartir ni una sola.,https://jumbo.vtexassets.com/arquivos/ids/442321-750-750?width=750&height=750&aspect=true
Papas fritas original 149 g,Pringles,https://www.jumbo.cl/papas-fritas-pringles-original-149-g/p,,$2.190,,Código: 1768055,"Cuando eres original, tu estableces el estándar de cómo se hace. Con el atractivo sabor de esta papa, llevarás este estándar de oro hasta el banco de sabores. Es el único bocadillo salado que siempre da en el clavo.",https://jumbo.vtexassets.com/arquivos/ids/409822-750-750?width=750&height=750&aspect=true
Papas fritas sabor limón 200 g,Marco Polo,https://www.jumbo.cl/papas-fritas-m-polo-c-a-limon-200-gr/p,$1.295,,,Código: 1856630,"A ti que te encanta disfrutar al máximo cada momento, que te gusta compartir con amigos y familiares… Este delicioso snack es idóneo para ello, para pasar una agradable tarde de películas con un rico picoteo.",https://jumbo.vtexassets.com/arquivos/ids/360244-750-750?width=750&height=750&aspect=true
Papas fritas cebolla caramelizada 185 g,Buka,https://www.jumbo.cl/papas-fritas-buka-185-g-cebolla-caramelizada/p,,$1.979,,Código: 1591440,"Las papas fritas artesanales de Buka son 100% naturales y elaboradas con sal de mar de Cahuil. Esta vez, deliciosas papas fritas con cebolla caramelizada.",https://jumbo.vtexassets.com/arquivos/ids/309231-750-750?width=750&height=750&aspect=true
Papas artesanales merkén 185 g,Cuisine & Co,https://www.jumbo.cl/papas-artesanales-merken-185-g-cuisine-and-co-1802310/p,,$1.739,,Código: 1802310,"¡Más que buenas, están re buenas! Papas fritas artesanales con sabor a merkén. Un poderoso y completo sabor.",https://jumbo.vtexassets.com/arquivos/ids/410391-750-750?width=750&height=750&aspect=true
Papas fritas rústicas con sal rosada y pimienta 185 g,Marco Polo,https://www.jumbo.cl/papas-rusticas-sal-rosada-y-pimienta-180-g/p,,$1.979,,Código: 1807208,Papas fritas rústicas Marco Polo con Sal del Himalaya y Pimienta. Crujientes y sabrosas ideal para compartir en un picoteo o fiesta.,https://jumbo.vtexassets.com/arquivos/ids/410267-750-750?width=750&height=750&aspect=true
Papas fritas Stax cheddar 134 g,Lays,https://www.jumbo.cl/papas-fritas-stax-cheddar-134-g/p,,$1.639,,Código: 1819827,"Prueba Lay's Stax, las más crujientes y llenas de sabor en sus 4 variedades: Original, Crema y Cebolla, Queso Cheddar y Pizza",https://jumbo.vtexassets.com/arquivos/ids/410414-750-750?width=750&height=750&aspect=true
Papas fritas Inferno spicy cheddar 175 g,Inferno,https://www.jumbo.cl/papas-fritas-inferno-spicy-cheddar-175gr-1867057/p,$1.223,,,Código: 1867057,¡Papas fritas en fuego! Con sabor a queso picante para sentirte súper hot. Prueba nuevas experiencias con Inferno.,https://jumbo.vtexassets.com/arquivos/ids/392150-750-750?width=750&height=750&aspect=true
Snack papas ramitas quesito vegano 170 g,Tika,https://www.jumbo.cl/tika-papas-ramitas-vegan-cheese-170-gr-1857531/p,,$2.199,,Código: 1857531,"Al fin puedes gozar tus ramitas con toda la tranquilidad del mundo.

Creadas a partir de papas del campos chileno, aceite alto oleico de girasol, delicioso quesito vegano y una pizca de sal de mar.",https://jumbo.vtexassets.com/arquivos/ids/417753-750-750?width=750&height=750&aspect=true
Papas fritas corte liso 230 g,Lays,https://www.jumbo.cl/papas-fritas-lays-lisas-230-g/p,,$1.629,,Código: 1611125,"Papas fritas Lay's, hechas con papas 100% natutrales. Son deliciosas y crujientes para disfrutar en todo momento.",https://jumbo.vtexassets.com/arquivos/ids/466959-750-750?width=750&height=750&aspect=true
Papas fritas queso 130  g,Kryzpo,https://www.jumbo.cl/papas-fritas-kryzpo-140-g-sabor-queso/p,,$1.649,,Código: 1578087,"El formato favorito de los kryzpoadictos porque de aquí pueden comer todos, aunque también existen algunos que no las comparten con nadie y no los culpamos.",https://jumbo.vtexassets.com/arquivos/ids/438694-750-750?width=750&height=750&aspect=true
Snack papas ramitas cebolla grillada 170 g,Tika,https://www.jumbo.cl/tika-papas-ramitas-ceb-grillada-170-gr-1857530/p,,$2.199,,Código: 1857530,"Al fin puedes gozar tus ramitas con toda la tranquilidad del mundo.

Creadas a partir de papas del campo chileno, aceite alto oleico de girasol, deliciosas cebollitas grilladas y una pizca de sal de mar.",https://jumbo.vtexassets.com/arquivos/ids/417752-750-750?width=750&height=750&aspect=true
Papas fritas Marco Polo corte americano 250 g,Marco Polo,https://www.jumbo.cl/papas-fritas-marco-polo-corte-americano-230-g/p,,$1.479,,Código: 1752215,Papas fritas saladas Marco Polo con corte americano. Crujientes y sabrosas ideal para compartir en un picoteo o fiesta.,https://jumbo.vtexassets.com/arquivos/ids/409665-750-750?width=750&height=750&aspect=true
Chips Nativas pepper 180 g,Tika,https://www.jumbo.cl/chips-nativas-pepper-tika-180-g/p,$2.439,,,Código: 1712098,"Nativas, los chips artesanales de papas preparadas con pimpienta y sal de mar. Son libres de gluten, sin productos artificiales en su elaboración. Únicas con aceite oleico 100% girasol.",https://jumbo.vtexassets.com/arquivos/ids/310846-750-750?width=750&height=750&aspect=true
Papas fritas corte americano 42 g,Lays,https://www.jumbo.cl/papa-fritas-lays-corte-americano-42-gr-1856960/p,,$670,,Código: 1856960,Las tradicionales papas Lays Corte Americano están elaboradas con papas 100% naturales. Deliciosas y crujientes en todo momento.,https://jumbo.vtexassets.com/arquivos/ids/436089-750-750?width=750&height=750&aspect=true
