Name,SKU,Brand,Title_link,Img,Price,product-attribute
Pack Cerveza Amber Ale 4 botellas,(Ref: 253368),Mestra,https://www.lider.cl/supermercado/product/Mestra-Pack-Cerveza-Amber-Ale-4-botellas/285829,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/285829a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$4.150,4 Botellas 330 cc c/u
Pack Cervezas 5 Estrellas 6 Botellas,(Ref: 705422),Mahou,https://www.lider.cl/supermercado/product/Mahou-Pack-Cervezas-5-Estrellas-6-Botellas/877414,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/877414a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$5.990,330 cc
Pack Cervezas 12 Botellas,(Ref: 662276),Miller,https://www.lider.cl/supermercado/product/Miller-Pack-Cervezas-12-Botellas/944817,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/944817a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$12.990,355 cc
Cerveza Robust Porter Botella,(Ref: 735490),Del Puerto,https://www.lider.cl/supermercado/product/Del-Puerto-Cerveza-Robust-Porter-Botella/936507,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/936507a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.670,330 cc
Cerveza German Pils Botellin,(Ref: 310823),Beck's,https://www.lider.cl/supermercado/product/Beck-s-Cerveza-German-Pils-Botellin/302005,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/302005a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$5.290,6 Un 330 cc c/u
Cerveza Dunkel Weizen Botella,(Ref: 735491),Del Puerto,https://www.lider.cl/supermercado/product/Del-Puerto-Cerveza-Dunkel-Weizen-Botella/936509,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/936509a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.670,330 cc
Cerveza Kalnapilis Royal Select,(Ref: 607943),Kalnapilis,https://www.lider.cl/supermercado/product/Kalnapilis-Cerveza-Kalnapilis-Royal-Select/851954,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/851954a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.290,568 cc
Cerveza sin Alcohol Botella,(Ref: 393559),Clausthaler,https://www.lider.cl/supermercado/product/Clausthaler-Cerveza-sin-Alcohol-Botella/489248,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/489248a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.550,330 ml
Pack Cerveza Lager 24 Latas,(Ref: 644563),Cristal,https://www.lider.cl/supermercado/product/Cristal-Pack-Cerveza-Lager-24-Latas/913558,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/913558a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$7.990,24 Un
"Pack Cervezas 4,8 G 12 Latas",(Ref: 739111),Mahou,https://www.lider.cl/supermercado/product/Mahou-Pack-Cervezas-4-8-G-12-Latas/1064533,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1064533a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$7.690,12 un
Cerveza Kalnapilis Orginal,(Ref: 607941),Kalnapilis,https://www.lider.cl/supermercado/product/Kalnapilis-Cerveza-Kalnapilis-Orginal/851950,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/851950a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.290,568 cc
Cerveza Strong Ale Reserva Botella,(Ref: 735493),Mestra,https://www.lider.cl/supermercado/product/Mestra-Cerveza-Strong-Ale-Reserva-Botella/1032484,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1032484a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$2.990,750 cc
Cerveza Kalnapilis White Select,(Ref: 607944),Kalnapilis,https://www.lider.cl/supermercado/product/Kalnapilis-Cerveza-Kalnapilis-White-Select/851956,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/851956a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.290,568 cc
Cerveza Lager Botella,(Ref: 461674),Corona,https://www.lider.cl/supermercado/product/Corona-Cerveza-Lager-Botella/11413,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/11413a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.000,710 cc
Pack Cerveza Daura Damm Sin Gluten 4 Botellas,(Ref: 459944),Estrella damm,https://www.lider.cl/supermercado/product/Estrella-damm-Pack-Cerveza-Daura-Damm-Sin-Gluten-4-Botellas/594877,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/594877a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$6.490,330 cc
Cerveza Strong Ale Botella,(Ref: 735488),Del Puerto,https://www.lider.cl/supermercado/product/Del-Puerto-Cerveza-Strong-Ale-Botella/936503,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/936503a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.670,330 cc
Pack Cerveza Blonde Ale 4 botellas,(Ref: 253354),Mestra,https://www.lider.cl/supermercado/product/Mestra-Pack-Cerveza-Blonde-Ale-4-botellas/285805,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/285805a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$4.150,4 Botellas 330 cc c/u
Cerveza Kalnapilis Pilsener,(Ref: 607942),Kalnapilis,https://www.lider.cl/supermercado/product/Kalnapilis-Cerveza-Kalnapilis-Pilsener/851952,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/851952a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.290,568 cc
Cerveza 5 Estrellas Premium Botella,(Ref: 544121),Mahou,https://www.lider.cl/supermercado/product/Mahou-Cerveza-5-Estrellas-Premium-Botella/739779,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/739779a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$990,330 ml
Cerveza Lager Botellin,(Ref: 738345),Kona,https://www.lider.cl/supermercado/product/Kona-Cerveza-Lager-Botellin/1077652,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1077652a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$4.990,6 Un 355 cc c/u
Cerveza Ale Botellin,(Ref: 738344),Kona,https://www.lider.cl/supermercado/product/Kona-Cerveza-Ale-Botellin/1077650,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1077650a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$4.990,6 Un 355 cc c/u
Cerveza Sol,(Ref: 639165),Sol,https://www.lider.cl/supermercado/product/Sol-Cerveza-Sol/904495,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/904495a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.000,710 cc
Cerveza Desechable Lager Botella,(Ref: 702321),Royal Guard,https://www.lider.cl/supermercado/product/Royal-Guard-Cerveza-Desechable-Lager-Botella/849414,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/849414a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.000,1 L
Cerveza Red Lager Lata,(Ref: 743717),Austral,https://www.lider.cl/supermercado/product/Austral-Cerveza-Red-Lager-Lata/1060839,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1060839a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.250,470 cc
Cerveza Hoppy Lager Lata,(Ref: 743718),Austral,https://www.lider.cl/supermercado/product/Austral-Cerveza-Hoppy-Lager-Lata/1060841,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1060841a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.250,470 cc
Cerveza maestra Doble Lupulo,(Ref: 773532),Mahou,https://www.lider.cl/supermercado/product/Mahou-Cerveza-maestra-Doble-Lupulo/1142794,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1142794a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.350,330 cc
Cerveza baja en calorías Botella,(Ref: 728635),Kross,https://www.lider.cl/supermercado/product/Kross-Cerveza-baja-en-calorías-Botella/1060719,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1060719a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.350,330 cc
Cerveza Rosé ale Botella,(Ref: 728636),Kross,https://www.lider.cl/supermercado/product/Kross-Cerveza-Rosé-ale-Botella/1060721,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1060721a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.350,330 cc
Cerveza Ak Damm,(Ref: 622956),Estrella Damm,https://www.lider.cl/supermercado/product/Estrella-Damm-Cerveza-Ak-Damm/877416,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/877416a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.550,330 cc
Pack 18 Cervezas Latas 350 cc c/u,(Ref: 728512),Royal Guard,https://www.lider.cl/supermercado/product/Royal-Guard-Pack-18-Cervezas-Latas-350-cc-c-u/1060507,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1060507a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$7.990,18 Un
