Nombre,Brand,Link,price-label,price-verde,price-gris,price-rojo,SKU,Descripcion,Img
"Arroz Miraflores 1 kg, pregraneado, grado 1, grano largo",Miraflores,https://www.jumbo.cl/arroz-miraflores-1-kg-pregraneado-grado-1-grano-largo/p,(Normal),,$1.449,,Código: 264578,"Arroz Miraflores 1 kg, pregraneado, grado 1, grano largo
En Miraflores tenemos variadas opciones de arroz para que puedas preparar lo que quieras cuando quieras, conoce toda la variedad disponible para disfrutar del mejor arroz.
Arroz de grano largo y ancho
Disfruta del arroz más rico y consumido en Chile. Se caracteriza por su longitud, consistencia y sabor, siendo un acompañamiento ideal para todo tipo de preparaciones.
Arroz integral
Miraflores tiene para ti una nutritiva línea de arroz. Se trata del arroz Integral Miraflores, una rica manera de alimentarse saludablemente. Este arroz tiene un exquisito sabor y requiere menos tiempos de preparación, perfecto para aquellos que buscan una alimentación sana.
Arroz pregraneados
Miraflores pregraneado es de granos firmes, lo cual lo hace perfecto para cocinar de forma simple y fácil. No requiere sofreír, por lo que es de rápida cocción, pero su principal ventaja es que queda siempre graneado y exquisito
Arroz preparados
Disfruta de todo el sabor de nuestros productos preparados y experimenta la versatilidad que puedes aportar a tus preparaciones con las diferentes variedades disponibles.",https://jumbo.vtexassets.com/arquivos/ids/453072-750-750?width=750&height=750&aspect=true
"Lentejas Martini Bolsa 500 g, 5 mm",Martini,https://www.jumbo.cl/lentejas-martini-bolsa-500-g-5-mm-2/p,(Ref.),$1.249,,,Código: 482500,Producto: LentejasContenido: 500 grLargo 5mmGrado 1 - Cosecha sin remojo,https://jumbo.vtexassets.com/arquivos/ids/291769-750-750?width=750&height=750&aspect=true
Garbanzos pelados 1 kg,Cuisine & Co,https://www.jumbo.cl/garbanzos-pelados-1-kg-cuisine-and-co-1840322/p,(Normal),,$2.749,,Código: 1840322,"Sabemos que un buen producto también puede tener un mejor precio, es por esto que te invitamos a descubrir nuestra nueva marca, creada especialmente para esos incansables buscadores del sabor y que valoran la calidad y la innovación, sin tener que pagar de más. Navega en nuestro sitio web y sorpréndete con la fantástica y extensa variedad de productos Cuisine & Co.",https://jumbo.vtexassets.com/arquivos/ids/442255-750-750?width=750&height=750&aspect=true
Semillas de Chia Mi Tierra Bolsa 175 g,Mi Tierra,https://www.jumbo.cl/semillas-de-chia-mi-tierra-bolsa-175-g/p,(Normal),,$2.990,,Código: 1217016,"La Chía es una de las semillas más nutritivas existentes, destaca por su elevado contenido de ácido alfa-linolénico (ALA), fibra dietética, proteínas, antioxidantes y minerales.",https://jumbo.vtexassets.com/arquivos/ids/251317-750-750?width=750&height=750&aspect=true
Lentejas bolsa 5 mm 1 kg,Banquete,https://www.jumbo.cl/lentejas-banquete-bolsa-1-kg-5mm/p,(Normal),,$2.519,,Código: 354739,"Deliciosas Lentejas bolsa 5 mm 1 kg, perfectas para tus preparaciones favoritas. Banquete te simplifica la vida y le da sabor a tus comidas.",https://jumbo.vtexassets.com/arquivos/ids/459008-750-750?width=750&height=750&aspect=true
Arroz integral multigrano 400 g,Banquete,https://www.jumbo.cl/arroz-integral-banquete-400-g-multigrano/p,(Normal),,$990,,Código: 1591441,"Delicioso Arroz integral multigrano 400 g, perfecto para tus preparaciones favoritas. Badia te simplifica la vida y le da sabor a tus comidas.",https://jumbo.vtexassets.com/arquivos/ids/458989-750-750?width=750&height=750&aspect=true
Lentejas 6 mm 1 kg,Cuisine & Co,https://www.jumbo.cl/lentejas-6-mm-1-kg-cuisine-and-co-1840316/p,(Normal),,$2.299,,Código: 1840316,"Las legumbres son uno de los platos más saludables en la alimentación actual. El poder de las lentejas te ayudará en la etapa de embarazo y también en la prevensión de la anemia, gracias a su alto contenido en hierro y ácido fólico.",https://jumbo.vtexassets.com/arquivos/ids/444467-750-750?width=750&height=750&aspect=true
Cous cous 250 g,Lucchetti,https://www.jumbo.cl/cous-cous-lucchetti-250-g/p,(Normal),,$1.039,,Código: 1652526,"Acompaña todas tus comidas con Cous Cous Lucchetti. Una propuesta sana, que destaca por su buen sabor y que solo requiere de 5 minutos para estar listo.",https://jumbo.vtexassets.com/arquivos/ids/417526-750-750?width=750&height=750&aspect=true
Lentejas bolsa 6 mm 1 kg,Banquete,https://www.jumbo.cl/lentejas-banquete-bolsa-1-kg-6mm/p,(Normal),,$2.609,,Código: 354740,"Deliciosas Lentejas bolsa 6 mm 1 kg, perfectas para tus preparaciones favoritas. Banquete te simplifica la vida y le da sabor a tus comidas.",https://jumbo.vtexassets.com/arquivos/ids/459009-750-750?width=750&height=750&aspect=true
Sésamo Tostado Mi Tierra Bolsa 100 g,Mi Tierra,https://www.jumbo.cl/sesamo-tostado-mi-tierra-bolsa-100-g/p,(Normal),,$1.590,,Código: 272601,"Sésamo natural suavemente tostado  para intensificar su aroma y sabor, conservando todas sus propiedades. Se recomienda para acompañar ensaladas o para preparar carnes y verduras salteadas.",https://jumbo.vtexassets.com/arquivos/ids/251469-750-750?width=750&height=750&aspect=true
Lentejas 4 mm 1 kg,Cuisine & Co,https://www.jumbo.cl/lentejas-4-mm-1-kg-cuisine-and-co-1840314/p,(Normal),,$2.199,,Código: 1840314,"Las legumbres son uno de los platos más saludables en la alimentación actual. El poder de las lentejas te ayudará en la etapa de embarazo y también en la prevensión de la anemia, gracias a su alto contenido en hierro y ácido fólico.",https://jumbo.vtexassets.com/arquivos/ids/444463-750-750?width=750&height=750&aspect=true
"Arroz Grado 2 Tucapel 1 kg, Clásico Escogido, Grano Corto",Tucapel,https://www.jumbo.cl/arroz-grado-2-tucapel-1-kg-clasico-escogido-grano-corto/p,(Normal),,$1.549,,Código: 264593,"Arroz Grado 2 Tucapel de granos cortos y de un clásico escogido. El arroz grado 2 contiene un 80% de granos enteros, ideal para tus almuerzos y comidas.",https://jumbo.vtexassets.com/arquivos/ids/414161-750-750?width=750&height=750&aspect=true
Lentejas 4 mm 1 kg,Iansa Agro,https://www.jumbo.cl/lenteja-4mm-iansagro-1kg/p,(Ref.),$1.912,,,Código: 1883620,"Lentejas 4 mm son seleccionadas manualmente para darte la mejor calidad y en su amigable envase 100% reciclable. Te las recomendamos para preparar un quiche vegetariano relleno de lentejas con curry, leche de coco y puerros. Formato 1 kg.",https://jumbo.vtexassets.com/arquivos/ids/470678-750-750?width=750&height=750&aspect=true
"Arroz Especial Miraflores Sobre 210 g, Preparado, Champiñones",Miraflores,https://www.jumbo.cl/arroz-especial-miraflores-sobre-210-g-preparado-champinones/p,(Normal),,$759,,Código: 498262003,"Arroz Especial Miraflores Sobre 210 g, Preparado, Champiñones
En Miraflores tenemos variadas opciones de arroz para que puedas preparar lo que quieras cuando quieras, conoce toda la variedad disponible para disfrutar del mejor arroz.
Arroz de grano largo y ancho
Disfruta del arroz más rico y consumido en Chile. Se caracteriza por su longitud, consistencia y sabor, siendo un acompañamiento ideal para todo tipo de preparaciones.
Arroz integral
Miraflores tiene para ti una nutritiva línea de arroz. Se trata del arroz Integral Miraflores, una rica manera de alimentarse saludablemente. Este arroz tiene un exquisito sabor y requiere menos tiempos de preparación, perfecto para aquellos que buscan una alimentación sana.
Arroz pregraneados
Miraflores pregraneado es de granos firmes, lo cual lo hace perfecto para cocinar de forma simple y fácil. No requiere sofreír, por lo que es de rápida cocción, pero su principal ventaja es que queda siempre graneado y exquisito
Arroz preparados
Disfruta de todo el sabor de nuestros productos preparados y experimenta la versatilidad que puedes aportar a tus preparaciones con las diferentes variedades disponibles.",https://jumbo.vtexassets.com/arquivos/ids/453188-750-750?width=750&height=750&aspect=true
"Arroz Especial Miraflores Sobre 210 g, Preparado, Chaufán",Miraflores,https://www.jumbo.cl/arroz-especial-miraflores-sobre-210-g-preparado-chaufan/p,(Normal),,$749,,Código: 940735,"Arroz Especial Miraflores Sobre 210 g, Preparado, Chaufán
En Miraflores tenemos variadas opciones de arroz para que puedas preparar lo que quieras cuando quieras, conoce toda la variedad disponible para disfrutar del mejor arroz.
Arroz de grano largo y ancho
Disfruta del arroz más rico y consumido en Chile. Se caracteriza por su longitud, consistencia y sabor, siendo un acompañamiento ideal para todo tipo de preparaciones.
Arroz integral
Miraflores tiene para ti una nutritiva línea de arroz. Se trata del arroz Integral Miraflores, una rica manera de alimentarse saludablemente. Este arroz tiene un exquisito sabor y requiere menos tiempos de preparación, perfecto para aquellos que buscan una alimentación sana.
Arroz pregraneados
Miraflores pregraneado es de granos firmes, lo cual lo hace perfecto para cocinar de forma simple y fácil. No requiere sofreír, por lo que es de rápida cocción, pero su principal ventaja es que queda siempre graneado y exquisito
Arroz preparados
Disfruta de todo el sabor de nuestros productos preparados y experimenta la versatilidad que puedes aportar a tus preparaciones con las diferentes variedades disponibles.",https://jumbo.vtexassets.com/arquivos/ids/453241-750-750?width=750&height=750&aspect=true
Porotos negros bolsa 1 kg,Campo Lindo,https://www.jumbo.cl/porotos-negros-campo-lindo-bolsa-1-kg-2/p,(Normal),,$1.499,,Código: 267014,"Por una alimentación saludable y basada en legumbres, prefiere los porotos negros Campo Lindo. Una excelente fuente de proteínas, minerales y vitaminas.",https://jumbo.vtexassets.com/arquivos/ids/175861-750-750?width=750&height=750&aspect=true
Arroz grado 2 grano largo y ancho 1 kg,Tucapel,https://www.jumbo.cl/arroz-grado-2-tucapel-1-kg-seleccion-escogido-grano-largo-y-ancho/p,(Normal),,$1.449,,Código: 264590,Arroz Tucapel caracterizado por su longitud consistencia y sabor. Ideal para acompañar cualquier tipo de comida. 1kg,https://jumbo.vtexassets.com/arquivos/ids/459003-750-750?width=750&height=750&aspect=true
Quinoa mediterránea 400 g,Banquete,https://www.jumbo.cl/quinoa-banquete-400-g-mediterranea/p,(Normal),,$3.259,,Código: 1597042,"Deliciosa Quinoa mediterránea 400 g, perfecta para tus preparaciones favoritas. Banquete te simplifica la vida y le da sabor a tus comidas.",https://jumbo.vtexassets.com/arquivos/ids/458986-750-750?width=750&height=750&aspect=true
Garbanzos medianos sin piel 1 kg,Banquete,https://www.jumbo.cl/garbanzos-banquete-1-kg-sin-piel-medianos/p,(Normal),,$3.019,,Código: 635486,"Deliciosos Garbanzos medianos sin piel 1 kg, perfectos para tus preparaciones favoritas. Badia te simplifica la vida y le da sabor a tus comidas.",https://jumbo.vtexassets.com/arquivos/ids/459014-750-750?width=750&height=750&aspect=true
Garbanzos pelados 1 kg,Iansa Agro,https://www.jumbo.cl/garbanzo-sin-piel-iansagro-1kg-1883625/p,(Ref.),$2.252,,,Código: 1883625,Garbanzos Pelados son seleccionados manualmente para darte la mejor calidad y viene en su amigable envase 100% reciclable. Te los recomendamos para un exquisito Curry. Formato 1 kg.,https://jumbo.vtexassets.com/arquivos/ids/470688-750-750?width=750&height=750&aspect=true
Linaza Mi Tierra Bolsa 200 grs.,Mi Tierra,https://www.jumbo.cl/linaza-mi-tierra-bolsa-200-grs/p,(Normal),,$1.129,,Código: 271205,"Semilla de gran valor nutricional con elevado contenido de fibra y de ácidos grasos esenciales, su textura crujiente la hacen excelente para agregar a ensaladas, postres o masas horneadas.",https://jumbo.vtexassets.com/arquivos/ids/251464-750-750?width=750&height=750&aspect=true
Quinoa Lavada Mi Tierra Envase 600grs.,Mi Tierra,https://www.jumbo.cl/quinoa-lavada-mi-tierra-envase-600grs/p,(Normal),,$5.199,,Código: 1523075,"Grano ancestral de gran valor nutricional que contiene proteínas de excelente calidad; ácidos grasos, vitaminas y minerales. Se recomienda consumir como acompañamiento de carnes o verduras, en ensaladas frías, guisos y sopas.",https://jumbo.vtexassets.com/arquivos/ids/251320-750-750?width=750&height=750&aspect=true
"Arroz Especial Miraflores Sobre 210 g, Preparado, Primavera",Miraflores,https://www.jumbo.cl/arroz-especial-miraflores-sobre-210-g-preparado-primavera/p,(Normal),,$759,,Código: 498262001,"Arroz Especial Miraflores Sobre 210 g, Preparado, Primavera
En Miraflores tenemos variadas opciones de arroz para que puedas preparar lo que quieras cuando quieras, conoce toda la variedad disponible para disfrutar del mejor arroz.
Arroz de grano largo y ancho
Disfruta del arroz más rico y consumido en Chile. Se caracteriza por su longitud, consistencia y sabor, siendo un acompañamiento ideal para todo tipo de preparaciones.
Arroz integral
Miraflores tiene para ti una nutritiva línea de arroz. Se trata del arroz Integral Miraflores, una rica manera de alimentarse saludablemente. Este arroz tiene un exquisito sabor y requiere menos tiempos de preparación, perfecto para aquellos que buscan una alimentación sana.
Arroz pregraneados
Miraflores pregraneado es de granos firmes, lo cual lo hace perfecto para cocinar de forma simple y fácil. No requiere sofreír, por lo que es de rápida cocción, pero su principal ventaja es que queda siempre graneado y exquisito
Arroz preparados
Disfruta de todo el sabor de nuestros productos preparados y experimenta la versatilidad que puedes aportar a tus preparaciones con las diferentes variedades disponibles.",https://jumbo.vtexassets.com/arquivos/ids/453187-750-750?width=750&height=750&aspect=true
"Arroz especial Miraflores 210 g, campesino, listo para preparar",Miraflores,https://www.jumbo.cl/arroz-especial-miraflores-210-g-campesino-listo-para-preparar/p,(Normal),,$749,,Código: 1552900,"Arroz especial Miraflores 210 g, campesino, listo para preparar
En Miraflores tenemos variadas opciones de arroz para que puedas preparar lo que quieras cuando quieras, conoce toda la variedad disponible para disfrutar del mejor arroz.
Arroz de grano largo y ancho
Disfruta del arroz más rico y consumido en Chile. Se caracteriza por su longitud, consistencia y sabor, siendo un acompañamiento ideal para todo tipo de preparaciones.
Arroz integral
Miraflores tiene para ti una nutritiva línea de arroz. Se trata del arroz Integral Miraflores, una rica manera de alimentarse saludablemente. Este arroz tiene un exquisito sabor y requiere menos tiempos de preparación, perfecto para aquellos que buscan una alimentación sana.
Arroz pregraneados
Miraflores pregraneado es de granos firmes, lo cual lo hace perfecto para cocinar de forma simple y fácil. No requiere sofreír, por lo que es de rápida cocción, pero su principal ventaja es que queda siempre graneado y exquisito
Arroz preparados
Disfruta de todo el sabor de nuestros productos preparados y experimenta la versatilidad que puedes aportar a tus preparaciones con las diferentes variedades disponibles.",https://jumbo.vtexassets.com/arquivos/ids/452835-750-750?width=750&height=750&aspect=true
Trigo mote 1 kg,Oso,https://www.jumbo.cl/trigo-mote-oso-1-kg/p,(Normal),,$2.199,,Código: 267899,"Trigo mote, ideal para un rico mote con huesillo. Oso es naturaleza para tu familia. Prueba sus productos en nuestra tienda.",https://jumbo.vtexassets.com/arquivos/ids/274539-750-750?width=750&height=750&aspect=true
