Title,Title_link,Thumbnail,Brand,EAN,Price,Especificaciones
Cerveza Golden Ale 5Âº Gl,https://www.tottus.cl/guayacan-cerveza-golden-ale-5-20186184/p/,,GUAYACAN - 330 CC,"<div id=""OKTS_div"" data-ean=""7804639040009"" class=""jsx-273525516""></div>",$990 UN,Formato330 ccMarcaguayacanVariedadesaleSellertottusBusiness score1
Cerveza Stout 6Âº Gl,https://www.tottus.cl/guayacan-cerveza-stout-6-20186185/p/,,GUAYACAN - 330 CC,"<div id=""OKTS_div"" data-ean=""7804639040023"" class=""jsx-273525516""></div>",$1.680 UN,Formato330 ccMarcaguayacanVariedadesnegraSellertottusBusiness score1
Pack Cerveza Volcanes 4x350cc Lager,https://www.tottus.cl/volcanes-cerveza-lager-20186993/p/,,VOLCANES - PACK X 4,"<div id=""OKTS_div"" data-ean=""7804604726907"" class=""jsx-273525516""></div>",$5.240 UN,FormatoPack X 4VariedadeslagerSellertottusTipo de cervezaArtesanalesMarcavolcanesOrigennacionalesBusiness score1Sticker appsticker_jose
Cerveza Gulden Draak 330 Cc Drack,https://www.tottus.cl/gulden-draak-cerveza-ale-20337070/p/,,GULDEN-DRAAK - INDIVIDUAL,"<div id=""OKTS_div"" data-ean=""5411663002846"" class=""jsx-273525516""></div>","$2.690 UN,$3.190 UN",FormatoIndividualVariedadesaleSellertottusTipo de cervezaPremiumMarcagulden-draakOrigenimportadasBusiness score1Sticker appsticker_jose
Pack Cerveza Miller 6x350cc Premium Lata,https://www.tottus.cl/miller-cerveza-importada-premium-lata-20097303/p/,,MILLER - PACK X 6,"<div id=""OKTS_div"" data-ean=""7804320000046"" class=""jsx-273525516""></div>",$5.790 UN,FormatoPack X 6VariedadeslagerSellertottusTipo de cervezaPremiumMarcamillerOrigenimportadasBusiness score1Sticker appsticker_jose
Pack Cerveza Carlsberg 6x330cc Lata,https://www.tottus.cl/carlsberg-cerveza-lata-5-g-20093441/p/,,CARLSBERG - PACK X 6,"<div id=""OKTS_div"" data-ean=""8690582724221"" class=""jsx-273525516""></div>",$5.089 UN,FormatoPack X 6VariedadeslagerSellertottusTipo de cervezaPremiumMarcacarlsbergOrigenimportadasBusiness score1Sticker appsticker_jose
Cerveza Gulden Draak 330 cc Drack,https://www.tottus.cl/gulden-draak-cerveza-belga-20028826/p/,,GULDEN-DRAAK - 330 CC,"<div id=""OKTS_div"" data-ean=""5411663002716"" class=""jsx-273525516""></div>","$2.690 UN,$3.190 UN",Formato330 ccVariedadesaleSellertottusTipo de cervezaPremiumMarcagulden-draakOrigenimportadasBusiness score1Sticker appsticker_jose
Pack Cerveza Volcanes 4x350cc Chocolate,https://www.tottus.cl/volcanes-cerveza-chocolate-20186995/p/,,VOLCANES - PACK X 4,"<div id=""OKTS_div"" data-ean=""7804604726914"" class=""jsx-273525516""></div>",$5.240 UN,FormatoPack X 4VariedadesotrosSellertottusTipo de cervezaArtesanalesMarcavolcanesOrigennacionalesBusiness score1Sticker appsticker_jose
Pack Cerveza Kross Bock Botella,https://www.tottus.cl/kross-cerveza-maibock-20371185/p/,,KROSS - 4 X 330 CC,"<div id=""OKTS_div"" data-ean=""7804615340260"" class=""jsx-273525516""></div>",$5.589 UN,Formato4 x 330 ccVariedadeslagerSellertottusTipo de cervezaArtesanalesMarcakrossOrigennacionalesBusiness score1Sticker appsticker_jose
Cerveza Mahou 500cc Lata,https://www.tottus.cl/mahou-cerveza-clasica-20296654/p/,,MAHOU - 500 CC,"<div id=""OKTS_div"" data-ean=""8411327001052"" class=""jsx-273525516""></div>",$929 UN,Formato500 ccVariedadeslagerSellertottusTipo de cervezaPremiumMarcamahouOrigenimportadasBusiness score1
Cerveza Weidmann 330cc Lata,https://www.tottus.cl/weidmann-cerveza-lata-limon-24-20352137/p/,,WEIDMANN - 330 CC,"<div id=""OKTS_div"" data-ean=""8718104911994"" class=""jsx-273525516""></div>",$599 UN,Formato330 ccVariedadesotrosSellertottusTipo de cervezaPremiumMarcaweidmannOrigenimportadasBusiness score1
Cerveza Kross 710 cc Golden Botella,https://www.tottus.cl/kross-cerveza-golden-20240637/p/,,KROSS - 710 CC,"<div id=""OKTS_div"" data-ean=""7804615340246"" class=""jsx-273525516""></div>",$2.399 UN,Formato710 ccVariedadesaleSellertottusTipo de cervezaArtesanalesMarcakrossOrigennacionalesBusiness score1
Pack Cerveza Tubinger 4x330cc,https://www.tottus.cl/tubinger-cerveza-artesanal-tub-red-ale-20296070/p/,,TUBINGER - 4 X 330 CC,"<div id=""OKTS_div"" data-ean=""7804622460081"" class=""jsx-273525516""></div>",$4.689 UN,Formato4 x 330 ccVariedadesambarSellertottusTipo de cervezaArtesanalesMarcatubingerOrigennacionalesBusiness score1
Pack Cerveza Estrella Damm Inedit Botella,https://www.tottus.cl/estrella-damm-cerveza-20171730/p/,,ESTRELLA-DAMM - 4 X 330 CC,"<div id=""OKTS_div"" data-ean=""8410793332837"" class=""jsx-273525516""></div>",$5.930 UN,Formato4 x 330 ccVariedadeslagerSellertottusTipo de cervezaPremiumMarcaestrella-dammOrigenimportadasBusiness score1
Cerveza Gulden Draak 330 Cc Ale,https://www.tottus.cl/gulden-draak-cerv-ale-ind-gulden-brew--105-20405090/p/,,GULDEN-DRAAK - INDIVIDUAL,"<div id=""OKTS_div"" data-ean=""5411663003027"" class=""jsx-273525516""></div>",$2.840 UN,FormatoIndividualVariedadesaleSellertottusTipo de cervezaPremiumMarcagulden-draakOrigenimportadasBusiness score1Sticker appsticker_jose
Cerveza Amber Ale,https://www.tottus.cl/del-puerto-cerveza-nacional-amber-ale-barba-roja-20045696/p/,,DEL-PUERTO - 330 CC,"<div id=""OKTS_div"" data-ean=""7804616930019"" class=""jsx-273525516""></div>",$1.250 UN,Formato330 ccVariedadesambarSellertottusTipo de cervezaArtesanalesMarcadel-puertoOrigennacionalesBusiness score1Sticker appsticker_jose
Cerveza Del Puerto 330 Cc Ale Porter,https://www.tottus.cl/del-puerto-cerveza-robus-porter-6-20129007/p/,,DEL-PUERTO - INDIVIDUAL,"<div id=""OKTS_div"" data-ean=""7804616930385"" class=""jsx-273525516""></div>",$1.549 UN,FormatoIndividualVariedadesnegraSellertottusTipo de cervezaArtesanalesMarcadel-puertoOrigennacionalesBusiness score1
Pack 6 Cerveza CusqueÃ±a X355cc Lata,https://www.tottus.cl/cusquena-pack-cerveza-cusquena-lata-20245796/p/,,CUSQUENA - PACK X 6,"<div id=""OKTS_div"" data-ean=""7802130002212"" class=""jsx-273525516""></div>",$3.390 UN,FormatoPack X 6VariedadeslagerSellertottusTipo de cervezaPremiumMarcacusquenaOrigenimportadasBusiness score1Sticker appsticker_jose
Cerveza Oettinger 500 Cc Ale Pilsner Lata,https://www.tottus.cl/oettinger-cerveza-pilsen-20220632/p/,,OETTINGER - INDIVIDUAL,"<div id=""OKTS_div"" data-ean=""4014086020360"" class=""jsx-273525516""></div>",$699 UN,FormatoIndividualVariedadeslagerSellertottusTipo de cervezaPremiumMarcaoettingerOrigenimportadasBusiness score1Sticker appsticker_preciazos
Pack Cerveza Royal Guard 6x355cc Smooth,https://www.tottus.cl/royal-guard-cerveza-smooth-20410204/p/,,ROYAL-GUARD - PACK X 6,"<div id=""OKTS_div"" data-ean=""7802100003126"" class=""jsx-273525516""></div>",$5.800 UN,FormatoPack X 6VariedadeslagerSellertottusTipo de cervezaPremiumMarcaroyal-guardOrigennacionalesBusiness score1Sticker appsticker_preciazos
Pack Cerveza Stella Artois 12x330cc,https://www.tottus.cl/stella-artois-cerveza-20386336/p/,,STELLA-ARTOIS - PACK X 12,"<div id=""OKTS_div"" data-ean=""7802130001758"" class=""jsx-273525516""></div>",$7.490 UN,FormatoPack X 12VariedadeslagerSellertottusTipo de cervezaPremiumMarcastella-artoisOrigenimportadasBusiness score1Sticker appsticker_preciazos
Cerveza Kaiserdom 500 Cc Ale Pilsner Lata,https://www.tottus.cl/kaiserdom-cerveza-pilsener-20238923/p/,,KAISERDOM - INDIVIDUAL,"<div id=""OKTS_div"" data-ean=""4004591037021"" class=""jsx-273525516""></div>",$790 UN,FormatoIndividualVariedadeslagerSellertottusTipo de cervezaPremiumMarcakaiserdomOrigenimportadasBusiness score1Sticker appsticker_preciazos
Cerveza Chimay 330 cc Negra Botella,https://www.tottus.cl/chimay-cerveza-negra-blueue-8-20356723/p/,,CHIMAY - 330 CC,"<div id=""OKTS_div"" data-ean=""5410908000036"" class=""jsx-273525516""></div>","$2.990 UN,$3.599 UN",Formato330 ccVariedadesnegraSellertottusTipo de cervezaPremiumMarcachimayOrigenimportadasBusiness score1
Cerveza Dolbek 330 Cc Lager Botella,https://www.tottus.cl/dolbek-cerveza-dolbek-lager-botella-20306897/p/,,DOLBEK - 330 CC,"<div id=""OKTS_div"" data-ean=""7804616480040"" class=""jsx-273525516""></div>",$1.630 UN,Formato330 ccVariedadeslagerSellertottusTipo de cervezaArtesanalesMarcadolbekOrigennacionalesBusiness score1
Pack Cerveza Kross 4x330cc Golden Ale Botella,https://www.tottus.cl/kross-cerveza-nacional--golden-ale-20049843/p/,,KROSS - PACK X 4,"<div id=""OKTS_div"" data-ean=""7804615340024"" class=""jsx-273525516""></div>",$5.489 UN,FormatoPack X 4VariedadesaleSellertottusTipo de cervezaArtesanalesMarcakrossOrigennacionalesBusiness score1Sticker appsticker_jose
Pack Cerveza Corona,https://www.tottus.cl/corona-cerveza-20157279/p/,,CORONA - 12 X 330 CC,"<div id=""OKTS_div"" data-ean=""7501064193040"" class=""jsx-273525516""></div>",$8.990 UN,Formato12 x 330 ccVariedadeslagerSellertottusTipo de cervezaPremiumMarcacoronaOrigenimportadasBusiness score1Sticker appsticker_jose
Cerveza Pale Ale  5Âº Gl,https://www.tottus.cl/guayacan-cerveza-pale-ale-5-20186183/p/,,GUAYACAN - 330 CC,"<div id=""OKTS_div"" data-ean=""7804639040016"" class=""jsx-273525516""></div>",$1.549 UN,Formato330 ccMarcaguayacanSellertottusBusiness score1VariedadesaleFalabella sizexsFalabella typefoodLength6.000Width6.000High22.500
Pack Cerveza Bock Botella,https://www.tottus.cl/kunstmann-cerveza-nacional-bock-long-neck-02300155/p/,,KUNSTMANN - 4 X 330 CC,"<div id=""OKTS_div"" data-ean=""7802107001378"" class=""jsx-273525516""></div>",$4.690 UN,Formato4 x 330 ccVariedadesnegraSellertottusTipo de cervezaArtesanalesMarcakunstmannOrigennacionalesBusiness score1Sticker appsticker_preciazos
Cerveza Kross 750 Cc,https://www.tottus.cl/kross-cerveza-nacional-kross-5-anos-20128905/p/,,KROSS - INDIVIDUAL,"<div id=""OKTS_div"" data-ean=""7804615340079"" class=""jsx-273525516""></div>",$4.030 UN,FormatoIndividualVariedadeslagerSellertottusTipo de cervezaArtesanalesMarcakrossOrigennacionalesBusiness score1Sticker appsticker_jose
Cerveza Weidmann 500,https://www.tottus.cl/weidmann-cerveza-trigo---hefeweissbier-20204033/p/,,WEIDMANN - 500 CC,"<div id=""OKTS_div"" data-ean=""8718104902350"" class=""jsx-273525516""></div>",$890 UN,Formato500 ccVariedadesotrosSellertottusTipo de cervezaPremiumMarcaweidmannOrigenimportadasBusiness score1Sticker appsticker_preciazos
Pack Cerveza Lager Botella,https://www.tottus.cl/miller-cerveza-lager-20371108/p/,,MILLER - 12 X 355 CC,"<div id=""OKTS_div"" data-ean=""34100175092"" class=""jsx-273525516""></div>",$12.859 UN,Formato12 x 355 ccSellertottusTipo de cervezaPremiumMarcamillerOrigenimportadasBusiness score1Sticker appsticker_preciazos
Cerveza Becker 6x473cc,https://www.tottus.cl/becker-cerveza---becker-20386340/p/,,BECKER - PACK X 6,"<div id=""OKTS_div"" data-ean=""7802130000676"" class=""jsx-273525516""></div>",$2.990 UN,FormatoPack X 6VariedadeslagerSellertottusTipo de cervezaTradicionalesMarcabeckerOrigennacionalesBusiness score1Sticker appsticker_jose
