Name,SKU,Brand,Title_link,Img,Price,product-attribute
Arroz Clásico Escogido Bolsa,(Ref: 274962),Tucapel,https://www.lider.cl/supermercado/product/Tucapel-Arroz-Clásico-Escogido-Bolsa/313761,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/313761a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.470,1 kg
Arroz Extra Clásico G1,(Ref: 691381),Tucapel,https://www.lider.cl/supermercado/product/Tucapel-Arroz-Extra-Clásico-G1/996205,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/996205a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.430,1 Kg
Arroz Grado 1,(Ref: 720849),Oregon,https://www.lider.cl/supermercado/product/Oregon-Arroz-Grado-1/1047044,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1047044a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.050,1 kg
Arroz Para Paella,(Ref: 692400),Tucapel,https://www.lider.cl/supermercado/product/Tucapel-Arroz-Para-Paella/318545,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/318545a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.750,1 kg
Arroz para Sushi Caja,(Ref: 276331),Tucapel,https://www.lider.cl/supermercado/product/Tucapel-Arroz-para-Sushi-Caja/11501,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/11501a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.980,400 g
Arroz Basmati Royal,(Ref: 743651),Pansari,https://www.lider.cl/supermercado/product/Pansari-Arroz-Basmati-Royal/970178,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/970178a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$4.670,1 kg
Arroz Grado 1 largo Coliseo 1 kg,(Ref: 741794),Coliseo,https://www.lider.cl/supermercado/product/Coliseo-Arroz-Grado-1-largo-Coliseo-1-kg/1084048,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1084048a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$850,1 kg
Arroz Basmati Signature,(Ref: 743652),Pansari,https://www.lider.cl/supermercado/product/Pansari-Arroz-Basmati-Signature/970180,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/970180a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$5.670,1 kg
Arroz Carnaroli,(Ref: 713384),Scotti,https://www.lider.cl/supermercado/product/Scotti-Arroz-Carnaroli/1033849,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1033849a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$4.270,1 kg
Arroz 1 kg Basmati,(Ref: 713395),Scotti,https://www.lider.cl/supermercado/product/Scotti-Arroz-1-kg-Basmati/1033857,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1033857a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$5.190,1 kg
Arroz grano largo delgado grado 2,(Ref: 747021),Agroprodex,https://www.lider.cl/supermercado/product/Agroprodex-Arroz-grano-largo-delgado-grado-2/1093714,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1093714a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.150,1 kg
Arroz Grado 1 Largo Ancho,(Ref: 831459),Miraflores,https://www.lider.cl/supermercado/product/Miraflores-Arroz-Grado-1-Largo-Ancho/1251793,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1251793a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.000,800 gr
Arroz Blue Bonnet Grado 1,(Ref: 829475),Tucapel,https://www.lider.cl/supermercado/product/Tucapel-Arroz-Blue-Bonnet-Grado-1/857384,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/857384a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.000,1 Kg
Arroz G2 Bolsa,(Ref: 784940),San Jose,https://www.lider.cl/supermercado/product/San-Jose-Arroz-G2-Bolsa/1163498,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1163498a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.220,1 kg
Arroz G1 Bolsa,(Ref: 784939),San Jose,https://www.lider.cl/supermercado/product/San-Jose-Arroz-G1-Bolsa/1163496,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1163496a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",$1.360,1 kg
