Name,SKU,Brand,Title_link,Img,product-attribute,Price
Papas Fritas Caseras,(Ref: 650989),Primor,https://www.lider.cl/supermercado/product/Primor-Papas-Fritas-Caseras/37967,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/37967a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",230 g,$2.110
Papas spicy cheddar,(Ref: 760784),Inferno,https://www.lider.cl/supermercado/product/Inferno-Papas-spicy-cheddar/1118487,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1118487a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",175 g,$1.410
Papas Fritas Lisas,(Ref: 718480),Lay's,https://www.lider.cl/supermercado/product/Lay-s-Papas-Fritas-Lisas/734732,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/734732a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",240 g,$1.350
Papas Fritas Rústicas Queso,(Ref: 801305),Marco Polo,https://www.lider.cl/supermercado/product/Marco-Polo-Papas-Fritas-Rústicas-Queso/815755,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/815755a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",185 g,$1.850
Papas Fritas Caseras Hilo,(Ref: 650990),Primor,https://www.lider.cl/supermercado/product/Primor-Papas-Fritas-Caseras-Hilo/924843,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/924843a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",200 g,$2.130
Papas Fritas Cheddar Cheese Tarro,(Ref: 251422),Great Value,https://www.lider.cl/supermercado/product/Great-Value-Papas-Fritas-Cheddar-Cheese-Tarro/282745,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/282745a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",142 g,$1.090
Papas Fritas Sabor Jamón Serrano,(Ref: 760778),Lay's,https://www.lider.cl/supermercado/product/Lay-s-Papas-Fritas-Sabor-Jamón-Serrano/2563,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/2563a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",200 g,$1.700
Papas Rústicas Sal de Mar,(Ref: 809255),Marco Polo,https://www.lider.cl/supermercado/product/Marco-Polo-Papas-Rústicas-Sal-de-Mar/844469,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/844469a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",38 g,$650
Papas Fritas Caseras,(Ref: 813806),Marco Polo,https://www.lider.cl/supermercado/product/Marco-Polo-Papas-Fritas-Caseras/683179,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/683179a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",38 g,$450
Papas Fritas Tarro Crema Ácida y Cebolla,(Ref: 251409),Great Value,https://www.lider.cl/supermercado/product/Great-Value-Papas-Fritas-Tarro-Crema-Ácida-y-Cebolla/282721,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/282721a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",142 g,$1.090
