Title,Title_link,Brand,price-label,Price,price-ppum,Headline,DetailPrice,SKU
Arroz grado 2 grano largo y ancho 1 kg,https://www.jumbo.cl/arroz-cuisine-and-co-g2-grano-largo-ancho1kg-1888809/p,Cuisine & Co,(Normal),$1.199,$1.199 x kg,Arroz grado 2 grano largo y ancho 1 kg,$1.199,Código: 1888809
Arroz arborio 1 kg,https://www.jumbo.cl/arroz-arborio-scotti-1-kg-1869715/p,Scotti,(Normal),$4.199,$4.199 x kg,Arroz arborio 1 kg,"$4.199,$1.519,$1.339,$1.359,$1.199",Código: 1869715
Arroz grado 2 grano largo y ancho graneado 1 kg,https://www.jumbo.cl/arroz-grado-2-tucapel-1-kg-graneado-grano-largo-y-ancho/p,Tucapel,(Normal),$1.359,$1.359 x kg,Arroz grado 2 grano largo y ancho graneado 1 kg,$1.359,Código: 264598
Arroz grado 1 extra clásico 1 kg,https://www.jumbo.cl/arroz-tucapel-extra-clasico-g1-1kg/p,Tucapel,(Normal),$1.459,$1.459 x kg,Arroz grado 1 extra clásico 1 kg,$1.459,Código: 1801357
Arroz grado 2 grano largo 3 kg,https://www.jumbo.cl/arroz-grado-2-tucapel-gran-seleccion-3-kg/p,Tucapel,(Normal),$3.549,$1.183 x kg,Arroz grado 2 grano largo 3 kg,$3.549,Código: 1670111
Arroz grado 1 grano largo y ancho 3 kg,https://www.jumbo.cl/arroz-g1-largo-ancho-c-and-co-3-kg-1888810/p,Cuisine & Co,(Normal),$3.499,$1.166 x kg,Arroz grado 1 grano largo y ancho 3 kg,$3.499,Código: 1888810
"Arroz Miraflores 1 kg, grado 2, grano largo laminado",https://www.jumbo.cl/arroz-miraflores-1-kg-grado-2-grano-largo-laminado/p,Miraflores,(Normal),$1.399,$1.399 x kg,"Arroz Miraflores 1 kg, grado 2, grano largo laminado",$1.399,Código: 506470
Arroz grado 2 de 1 kg,https://www.jumbo.cl/arroz-iansa-agro-g2-largo-ancho-1kg-1895404/p,Iansa Agro,(Normal),,,Arroz grado 2 de 1 kg,"$1.519,$1.339,$1.359,$1.199",Código: 1895404
Arroz grado 1 grano largo 1 kg,https://www.jumbo.cl/arroz-yang-s-brand-1-kg-grado-1-grano-largo/p,Yang's Brand,(Normal),$2.399,$2.399 x kg,Arroz grado 1 grano largo 1 kg,$2.399,Código: 264650
Arroz basmati 500 g,https://www.jumbo.cl/arroz-basmati-500-g/p,Bio zentrale,(Normal),$4.999,$9.998 x kg,Arroz basmati 500 g,$4.999,Código: 1842596
Arroz integral grado 1 de 1 kg,https://www.jumbo.cl/arroz-iansa-agro-integral-1kg-1895406/p,Iansa Agro,(Normal),,,Arroz integral grado 1 de 1 kg,,Código: 1895406
Arroz pregraneado grado 1 de 1 kg,https://www.jumbo.cl/arroz-iansa-agro-pregraneado-1kg-1895405/p,Iansa Agro,(Normal),,,Arroz pregraneado grado 1 de 1 kg,,Código: 1895405
Arroz grano largo 500 g,https://www.jumbo.cl/arroz-bio-zentrale-500-g-grano-largo/p,Bio zentrale,(Normal),$3.699,$7.398 x kg,Arroz grano largo 500 g,$3.699,Código: 1623709
Arroz pregraneado 1 kg,https://www.jumbo.cl/arroz-pregraneado-cuisine-and-co-1kg-1883873/p,Cuisine & Co,(Normal),$1.199,$1.199 x kg,Arroz pregraneado 1 kg,$1.199,Código: 1883873
Arroz Integral Miraflores 1 kg,https://www.jumbo.cl/arroz-integral-miraflores-1-kg-fibraplus/p,Miraflores,,,,Arroz Integral Miraflores 1 kg,,Código: 1220661
