Title,Title_link,Thumbnail,(Ref,product-name,Price,product-attribute,Field1
Arroz Clásico Escogido Bolsa,https://www.lider.cl/supermercado/product/Tucapel-Arroz-Clásico-Escogido-Bolsa/313761,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/313761a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Tucapel,$1.470,1 kg,(Ref: 274962)
Arroz Extra Clásico G1,https://www.lider.cl/supermercado/product/Tucapel-Arroz-Extra-Clásico-G1/996205,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/996205a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Tucapel,$1.430,1 Kg,(Ref: 691381)
Arroz Grado 1,https://www.lider.cl/supermercado/product/Oregon-Arroz-Grado-1/1047044,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1047044a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Oregon,$1.050,1 kg,(Ref: 720849)
Arroz Para Paella,https://www.lider.cl/supermercado/product/Tucapel-Arroz-Para-Paella/318545,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/318545a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Tucapel,$1.490,1 kg,(Ref: 692400)
Arroz para Sushi Caja,https://www.lider.cl/supermercado/product/Tucapel-Arroz-para-Sushi-Caja/11501,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/11501a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Tucapel,$1.820,400 g,(Ref: 276331)
Arroz Basmati Royal,https://www.lider.cl/supermercado/product/Pansari-Arroz-Basmati-Royal/970178,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/970178a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Pansari,$4.250,1 kg,(Ref: 743651)
Arroz Grado 1 largo Coliseo 1 kg,https://www.lider.cl/supermercado/product/Coliseo-Arroz-Grado-1-largo-Coliseo-1-kg/1084048,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1084048a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Coliseo,$1.000,1 kg,(Ref: 741794)
Arroz Basmati Signature,https://www.lider.cl/supermercado/product/Pansari-Arroz-Basmati-Signature/970180,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/970180a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Pansari,$5.290,1 kg,(Ref: 743652)
Arroz Carnaroli,https://www.lider.cl/supermercado/product/Scotti-Arroz-Carnaroli/1033849,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1033849a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Scotti,$4.270,1 kg,(Ref: 713384)
Arroz 1 kg Basmati,https://www.lider.cl/supermercado/product/Scotti-Arroz-1-kg-Basmati/1033857,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1033857a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Scotti,$5.190,1 kg,(Ref: 713395)
Arroz grano largo delgado grado 2,https://www.lider.cl/supermercado/product/Agroprodex-Arroz-grano-largo-delgado-grado-2/1093714,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1093714a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,Agroprodex,$1.150,1 kg,(Ref: 747021)
Arroz G2 Bolsa,https://www.lider.cl/supermercado/product/San-Jose-Arroz-G2-Bolsa/1163498,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1163498a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,San Jose,$1.220,1 kg,(Ref: 784940)
Arroz G1 Bolsa,https://www.lider.cl/supermercado/product/San-Jose-Arroz-G1-Bolsa/1163496,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1163496a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]",,San Jose,$1.360,1 kg,(Ref: 784939)
